date,proverbe,origine
18/02/2025,Même la plus petite étoile brille dans l’obscurité.,africain
19/02/2025,Pa ni pi gran pyès pasé lanmou.,antillais
20/02/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
21/02/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
22/02/2025,Le fleuve qui oublie sa source tarit.,africain
23/02/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
24/02/2025,On ne ramasse pas le bois pourri deux fois.,africain
25/02/2025,Tout sé chimen ka mennen an péyi.,antillais
26/02/2025,Le voyage de mille lieues commence par un pas.,africain
27/02/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
28/02/2025,Même la plus petite étoile brille dans l’obscurité.,africain
01/03/2025,Pa ni pi gran pyès pasé lanmou.,antillais
02/03/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
03/03/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
04/03/2025,Le fleuve qui oublie sa source tarit.,africain
05/03/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
06/03/2025,On ne ramasse pas le bois pourri deux fois.,africain
07/03/2025,Tout sé chimen ka mennen an péyi.,antillais
08/03/2025,Le voyage de mille lieues commence par un pas.,africain
09/03/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
10/03/2025,Même la plus petite étoile brille dans l’obscurité.,africain
11/03/2025,Pa ni pi gran pyès pasé lanmou.,antillais
12/03/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
13/03/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
14/03/2025,Le fleuve qui oublie sa source tarit.,africain
15/03/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
16/03/2025,On ne ramasse pas le bois pourri deux fois.,africain
17/03/2025,Tout sé chimen ka mennen an péyi.,antillais
18/03/2025,Le voyage de mille lieues commence par un pas.,africain
19/03/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
20/03/2025,Même la plus petite étoile brille dans l’obscurité.,africain
21/03/2025,Pa ni pi gran pyès pasé lanmou.,antillais
22/03/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
23/03/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
24/03/2025,Le fleuve qui oublie sa source tarit.,africain
25/03/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
26/03/2025,On ne ramasse pas le bois pourri deux fois.,africain
27/03/2025,Tout sé chimen ka mennen an péyi.,antillais
28/03/2025,Le voyage de mille lieues commence par un pas.,africain
29/03/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
30/03/2025,Même la plus petite étoile brille dans l’obscurité.,africain
31/03/2025,Pa ni pi gran pyès pasé lanmou.,antillais
01/04/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
02/04/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
03/04/2025,Le fleuve qui oublie sa source tarit.,africain
04/04/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
05/04/2025,On ne ramasse pas le bois pourri deux fois.,africain
06/04/2025,Tout sé chimen ka mennen an péyi.,antillais
07/04/2025,Le voyage de mille lieues commence par un pas.,africain
08/04/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
09/04/2025,Même la plus petite étoile brille dans l’obscurité.,africain
10/04/2025,Pa ni pi gran pyès pasé lanmou.,antillais
11/04/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
12/04/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
13/04/2025,Le fleuve qui oublie sa source tarit.,africain
14/04/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
15/04/2025,On ne ramasse pas le bois pourri deux fois.,africain
16/04/2025,Tout sé chimen ka mennen an péyi.,antillais
17/04/2025,Le voyage de mille lieues commence par un pas.,africain
18/04/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
19/04/2025,Même la plus petite étoile brille dans l’obscurité.,africain
20/04/2025,Pa ni pi gran pyès pasé lanmou.,antillais
21/04/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
22/04/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
23/04/2025,Le fleuve qui oublie sa source tarit.,africain
24/04/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
25/04/2025,On ne ramasse pas le bois pourri deux fois.,africain
26/04/2025,Tout sé chimen ka mennen an péyi.,antillais
27/04/2025,Le voyage de mille lieues commence par un pas.,africain
28/04/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
29/04/2025,Même la plus petite étoile brille dans l’obscurité.,africain
30/04/2025,Pa ni pi gran pyès pasé lanmou.,antillais
01/05/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
02/05/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
03/05/2025,Le fleuve qui oublie sa source tarit.,africain
04/05/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
05/05/2025,On ne ramasse pas le bois pourri deux fois.,africain
06/05/2025,Tout sé chimen ka mennen an péyi.,antillais
07/05/2025,Le voyage de mille lieues commence par un pas.,africain
08/05/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
09/05/2025,Même la plus petite étoile brille dans l’obscurité.,africain
10/05/2025,Pa ni pi gran pyès pasé lanmou.,antillais
11/05/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
12/05/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
13/05/2025,Le fleuve qui oublie sa source tarit.,africain
14/05/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
15/05/2025,On ne ramasse pas le bois pourri deux fois.,africain
16/05/2025,Tout sé chimen ka mennen an péyi.,antillais
17/05/2025,Le voyage de mille lieues commence par un pas.,africain
18/05/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
19/05/2025,Même la plus petite étoile brille dans l’obscurité.,africain
20/05/2025,Pa ni pi gran pyès pasé lanmou.,antillais
21/05/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
22/05/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
23/05/2025,Le fleuve qui oublie sa source tarit.,africain
24/05/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
25/05/2025,On ne ramasse pas le bois pourri deux fois.,africain
26/05/2025,Tout sé chimen ka mennen an péyi.,antillais
27/05/2025,Le voyage de mille lieues commence par un pas.,africain
28/05/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
29/05/2025,Même la plus petite étoile brille dans l’obscurité.,africain
30/05/2025,Pa ni pi gran pyès pasé lanmou.,antillais
31/05/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
01/06/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
02/06/2025,Le fleuve qui oublie sa source tarit.,africain
03/06/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
04/06/2025,On ne ramasse pas le bois pourri deux fois.,africain
05/06/2025,Tout sé chimen ka mennen an péyi.,antillais
06/06/2025,Le voyage de mille lieues commence par un pas.,africain
07/06/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
08/06/2025,Même la plus petite étoile brille dans l’obscurité.,africain
09/06/2025,Pa ni pi gran pyès pasé lanmou.,antillais
10/06/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
11/06/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
12/06/2025,Le fleuve qui oublie sa source tarit.,africain
13/06/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
14/06/2025,On ne ramasse pas le bois pourri deux fois.,africain
15/06/2025,Tout sé chimen ka mennen an péyi.,antillais
16/06/2025,Le voyage de mille lieues commence par un pas.,africain
17/06/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
18/06/2025,Même la plus petite étoile brille dans l’obscurité.,africain
19/06/2025,Pa ni pi gran pyès pasé lanmou.,antillais
20/06/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
21/06/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
22/06/2025,Le fleuve qui oublie sa source tarit.,africain
23/06/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
24/06/2025,On ne ramasse pas le bois pourri deux fois.,africain
25/06/2025,Tout sé chimen ka mennen an péyi.,antillais
26/06/2025,Le voyage de mille lieues commence par un pas.,africain
27/06/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
28/06/2025,Même la plus petite étoile brille dans l’obscurité.,africain
29/06/2025,Pa ni pi gran pyès pasé lanmou.,antillais
30/06/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
01/07/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
02/07/2025,Le fleuve qui oublie sa source tarit.,africain
03/07/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
04/07/2025,On ne ramasse pas le bois pourri deux fois.,africain
05/07/2025,Tout sé chimen ka mennen an péyi.,antillais
06/07/2025,Le voyage de mille lieues commence par un pas.,africain
07/07/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
08/07/2025,Même la plus petite étoile brille dans l’obscurité.,africain
09/07/2025,Pa ni pi gran pyès pasé lanmou.,antillais
10/07/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
11/07/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
12/07/2025,Le fleuve qui oublie sa source tarit.,africain
13/07/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
14/07/2025,On ne ramasse pas le bois pourri deux fois.,africain
15/07/2025,Tout sé chimen ka mennen an péyi.,antillais
16/07/2025,Le voyage de mille lieues commence par un pas.,africain
17/07/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
18/07/2025,Même la plus petite étoile brille dans l’obscurité.,africain
19/07/2025,Pa ni pi gran pyès pasé lanmou.,antillais
20/07/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
21/07/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
22/07/2025,Le fleuve qui oublie sa source tarit.,africain
23/07/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
24/07/2025,On ne ramasse pas le bois pourri deux fois.,africain
25/07/2025,Tout sé chimen ka mennen an péyi.,antillais
26/07/2025,Le voyage de mille lieues commence par un pas.,africain
27/07/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
28/07/2025,Même la plus petite étoile brille dans l’obscurité.,africain
29/07/2025,Pa ni pi gran pyès pasé lanmou.,antillais
30/07/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
31/07/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
01/08/2025,Le fleuve qui oublie sa source tarit.,africain
02/08/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
03/08/2025,On ne ramasse pas le bois pourri deux fois.,africain
04/08/2025,Tout sé chimen ka mennen an péyi.,antillais
05/08/2025,Le voyage de mille lieues commence par un pas.,africain
06/08/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
07/08/2025,Même la plus petite étoile brille dans l’obscurité.,africain
08/08/2025,Pa ni pi gran pyès pasé lanmou.,antillais
09/08/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
10/08/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
11/08/2025,Le fleuve qui oublie sa source tarit.,africain
12/08/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
13/08/2025,On ne ramasse pas le bois pourri deux fois.,africain
14/08/2025,Tout sé chimen ka mennen an péyi.,antillais
15/08/2025,Le voyage de mille lieues commence par un pas.,africain
16/08/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
17/08/2025,Même la plus petite étoile brille dans l’obscurité.,africain
18/08/2025,Pa ni pi gran pyès pasé lanmou.,antillais
19/08/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
20/08/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
21/08/2025,Le fleuve qui oublie sa source tarit.,africain
22/08/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
23/08/2025,On ne ramasse pas le bois pourri deux fois.,africain
24/08/2025,Tout sé chimen ka mennen an péyi.,antillais
25/08/2025,Le voyage de mille lieues commence par un pas.,africain
26/08/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
27/08/2025,Même la plus petite étoile brille dans l’obscurité.,africain
28/08/2025,Pa ni pi gran pyès pasé lanmou.,antillais
29/08/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
30/08/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
31/08/2025,Le fleuve qui oublie sa source tarit.,africain
01/09/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
02/09/2025,On ne ramasse pas le bois pourri deux fois.,africain
03/09/2025,Tout sé chimen ka mennen an péyi.,antillais
04/09/2025,Le voyage de mille lieues commence par un pas.,africain
05/09/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
06/09/2025,Même la plus petite étoile brille dans l’obscurité.,africain
07/09/2025,Pa ni pi gran pyès pasé lanmou.,antillais
08/09/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
09/09/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
10/09/2025,Le fleuve qui oublie sa source tarit.,africain
11/09/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
12/09/2025,On ne ramasse pas le bois pourri deux fois.,africain
13/09/2025,Tout sé chimen ka mennen an péyi.,antillais
14/09/2025,Le voyage de mille lieues commence par un pas.,africain
15/09/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
16/09/2025,Même la plus petite étoile brille dans l’obscurité.,africain
17/09/2025,Pa ni pi gran pyès pasé lanmou.,antillais
18/09/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
19/09/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
20/09/2025,Le fleuve qui oublie sa source tarit.,africain
21/09/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
22/09/2025,On ne ramasse pas le bois pourri deux fois.,africain
23/09/2025,Tout sé chimen ka mennen an péyi.,antillais
24/09/2025,Le voyage de mille lieues commence par un pas.,africain
25/09/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
26/09/2025,Même la plus petite étoile brille dans l’obscurité.,africain
27/09/2025,Pa ni pi gran pyès pasé lanmou.,antillais
28/09/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
29/09/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
30/09/2025,Le fleuve qui oublie sa source tarit.,africain
01/10/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
02/10/2025,On ne ramasse pas le bois pourri deux fois.,africain
03/10/2025,Tout sé chimen ka mennen an péyi.,antillais
04/10/2025,Le voyage de mille lieues commence par un pas.,africain
05/10/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
06/10/2025,Même la plus petite étoile brille dans l’obscurité.,africain
07/10/2025,Pa ni pi gran pyès pasé lanmou.,antillais
08/10/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
09/10/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
10/10/2025,Le fleuve qui oublie sa source tarit.,africain
11/10/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
12/10/2025,On ne ramasse pas le bois pourri deux fois.,africain
13/10/2025,Tout sé chimen ka mennen an péyi.,antillais
14/10/2025,Le voyage de mille lieues commence par un pas.,africain
15/10/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
16/10/2025,Même la plus petite étoile brille dans l’obscurité.,africain
17/10/2025,Pa ni pi gran pyès pasé lanmou.,antillais
18/10/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
19/10/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
20/10/2025,Le fleuve qui oublie sa source tarit.,africain
21/10/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
22/10/2025,On ne ramasse pas le bois pourri deux fois.,africain
23/10/2025,Tout sé chimen ka mennen an péyi.,antillais
24/10/2025,Le voyage de mille lieues commence par un pas.,africain
25/10/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
26/10/2025,Même la plus petite étoile brille dans l’obscurité.,africain
27/10/2025,Pa ni pi gran pyès pasé lanmou.,antillais
28/10/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
29/10/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
30/10/2025,Le fleuve qui oublie sa source tarit.,africain
31/10/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
01/11/2025,On ne ramasse pas le bois pourri deux fois.,africain
02/11/2025,Tout sé chimen ka mennen an péyi.,antillais
03/11/2025,Le voyage de mille lieues commence par un pas.,africain
04/11/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
05/11/2025,Même la plus petite étoile brille dans l’obscurité.,africain
06/11/2025,Pa ni pi gran pyès pasé lanmou.,antillais
07/11/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
08/11/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
09/11/2025,Le fleuve qui oublie sa source tarit.,africain
10/11/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
11/11/2025,On ne ramasse pas le bois pourri deux fois.,africain
12/11/2025,Tout sé chimen ka mennen an péyi.,antillais
13/11/2025,Le voyage de mille lieues commence par un pas.,africain
14/11/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
15/11/2025,Même la plus petite étoile brille dans l’obscurité.,africain
16/11/2025,Pa ni pi gran pyès pasé lanmou.,antillais
17/11/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
18/11/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
19/11/2025,Le fleuve qui oublie sa source tarit.,africain
20/11/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
21/11/2025,On ne ramasse pas le bois pourri deux fois.,africain
22/11/2025,Tout sé chimen ka mennen an péyi.,antillais
23/11/2025,Le voyage de mille lieues commence par un pas.,africain
24/11/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
25/11/2025,Même la plus petite étoile brille dans l’obscurité.,africain
26/11/2025,Pa ni pi gran pyès pasé lanmou.,antillais
27/11/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
28/11/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
29/11/2025,Le fleuve qui oublie sa source tarit.,africain
30/11/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
01/12/2025,On ne ramasse pas le bois pourri deux fois.,africain
02/12/2025,Tout sé chimen ka mennen an péyi.,antillais
03/12/2025,Le voyage de mille lieues commence par un pas.,africain
04/12/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
05/12/2025,Même la plus petite étoile brille dans l’obscurité.,africain
06/12/2025,Pa ni pi gran pyès pasé lanmou.,antillais
07/12/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
08/12/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
09/12/2025,Le fleuve qui oublie sa source tarit.,africain
10/12/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
11/12/2025,On ne ramasse pas le bois pourri deux fois.,africain
12/12/2025,Tout sé chimen ka mennen an péyi.,antillais
13/12/2025,Le voyage de mille lieues commence par un pas.,africain
14/12/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
15/12/2025,Même la plus petite étoile brille dans l’obscurité.,africain
16/12/2025,Pa ni pi gran pyès pasé lanmou.,antillais
17/12/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
18/12/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
19/12/2025,Le fleuve qui oublie sa source tarit.,africain
20/12/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
21/12/2025,On ne ramasse pas le bois pourri deux fois.,africain
22/12/2025,Tout sé chimen ka mennen an péyi.,antillais
23/12/2025,Le voyage de mille lieues commence par un pas.,africain
24/12/2025,"Lè van ka souflé, lapli ka vini dèyè.",antillais
25/12/2025,Même la plus petite étoile brille dans l’obscurité.,africain
26/12/2025,Pa ni pi gran pyès pasé lanmou.,antillais
27/12/2025,"Lorsque les toiles d’araignée s’unissent, elles peuvent ligoter un lion.",africain
28/12/2025,"Dlo ka maché, mé i pa ka krazé wòch.",antillais
29/12/2025,Le fleuve qui oublie sa source tarit.,africain
30/12/2025,"Chyen ka janbé dlo pou lé zo, mé i pa janbé pou fanmiy.",antillais
31/12/2025,On ne ramasse pas le bois pourri deux fois.,africain
